Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.2	0	1	internal://	InInterests	0	0	0	0
0.2	0	1	internal://	OutInterests	0	0	0	0
0.2	0	1	internal://	InData	0	0	0	0
0.2	0	1	internal://	OutData	0	0	0	0
0.2	0	1	internal://	InNacks	0	0	0	0
0.2	0	1	internal://	OutNacks	0	0	0	0
0.2	0	1	internal://	InSatisfiedInterests	0	0	0	0
0.2	0	1	internal://	InTimedOutInterests	0	0	0	0
0.2	0	1	internal://	OutSatisfiedInterests	8	0	2	0
0.2	0	1	internal://	OutTimedOutInterests	0	0	0	0
0.2	0	256	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
0.2	0	256	netdev://[00:00:00:00:00:01]	OutInterests	8	0.203125	2	0.0507812
0.2	0	256	netdev://[00:00:00:00:00:01]	InData	8	8.25	2	2.0625
0.2	0	256	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
0.2	0	256	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
0.2	0	256	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
0.2	0	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
0.2	0	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.2	0	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	8	0	2	0
0.2	0	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.2	0	257	internal://	InInterests	0	0	0	0
0.2	0	257	internal://	OutInterests	0	0	0	0
0.2	0	257	internal://	InData	0	0	0	0
0.2	0	257	internal://	OutData	0	0	0	0
0.2	0	257	internal://	InNacks	0	0	0	0
0.2	0	257	internal://	OutNacks	0	0	0	0
0.2	0	257	internal://	InSatisfiedInterests	8	0	2	0
0.2	0	257	internal://	InTimedOutInterests	0	0	0	0
0.2	0	257	internal://	OutSatisfiedInterests	0	0	0	0
0.2	0	257	internal://	OutTimedOutInterests	0	0	0	0
0.2	0	258	appFace://	InInterests	8	0.203125	2	0.0507812
0.2	0	258	appFace://	OutInterests	0	0	0	0
0.2	0	258	appFace://	InData	0	0	0	0
0.2	0	258	appFace://	OutData	8	8.25	2	2.0625
0.2	0	258	appFace://	InNacks	0	0	0	0
0.2	0	258	appFace://	OutNacks	0	0	0	0
0.2	0	258	appFace://	InSatisfiedInterests	8	0	2	0
0.2	0	258	appFace://	InTimedOutInterests	0	0	0	0
0.2	0	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.2	0	258	appFace://	OutTimedOutInterests	0	0	0	0
0.2	0	-1	all	SatisfiedInterests	20	0	5	0
0.2	0	-1	all	TimedOutInterests	0	0	0	0
0.2	1	1	internal://	InInterests	0	0	0	0
0.2	1	1	internal://	OutInterests	0	0	0	0
0.2	1	1	internal://	InData	0	0	0	0
0.2	1	1	internal://	OutData	0	0	0	0
0.2	1	1	internal://	InNacks	0	0	0	0
0.2	1	1	internal://	OutNacks	0	0	0	0
0.2	1	1	internal://	InSatisfiedInterests	0	0	0	0
0.2	1	1	internal://	InTimedOutInterests	0	0	0	0
0.2	1	1	internal://	OutSatisfiedInterests	8	0	2	0
0.2	1	1	internal://	OutTimedOutInterests	0	0	0	0
0.2	1	256	netdev://[00:00:00:00:00:02]	InInterests	8	0.203125	2	0.0507812
0.2	1	256	netdev://[00:00:00:00:00:02]	OutInterests	0	0	0	0
0.2	1	256	netdev://[00:00:00:00:00:02]	InData	0	0	0	0
